ID,demographic_category,demographic_value,administered_date,total_doses,cumulative_total_doses,pfizer_doses,cumulative_pfizer_doses,moderna_doses,cumulative_moderna_doses,jj_doses,cumulative_jj_doses,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose
1,Age Group,18-49,10/11/21,19926,24135592,15146,14274956,3633,8801634,1147,1059002,6039,1404296,7500,11735053,7190,13139349
2,Age Group,50-64,10/11/21,9598,11768452,8114,6291209,1136,4878371,348,598872,1477,536477,1978,5772759,1819,6309236
3,Age Group,65+,10/11/21,18284,10895981,16931,5315878,1259,5393621,94,186482,1166,492109,1192,4944120,1265,5436229
4,Age Group,17-Dec,10/11/21,3302,3872293,3298,3863277,4,8007,0,1009,1624,256877,1661,1797235,1637,2054112
5,Age Group,Unknown Agegroup,10/11/21,3,7480,2,4389,1,2719,0,372,3,3491,0,1995,3,5486
6,Gender,Female,10/11/21,27467,26603107,23769,15749138,3093,10040321,605,813648,5320,1356499,6193,12667346,5937,14023845
7,Gender,Male,10/11/21,23613,23933685,19704,13932969,2932,8978321,977,1022395,4977,1315542,6123,11518699,5958,12834241
8,Gender,Unknown/undifferentiated,10/11/21,33,143006,18,67602,8,65710,7,9694,12,21212,15,65116,19,86328
9,Race/Ethnicity,White,10/11/21,18871,17693835,16704,9956735,1623,7106684,544,630416,2154,716933,2973,8458784,2701,9175717
10,Race/Ethnicity,Latino,10/11/21,13021,14820668,10674,8998214,1944,5278198,403,544256,3828,964373,4572,7097937,4238,8062310
11,Race/Ethnicity,Asian,10/11/21,7849,8232176,7199,5059699,563,2940359,87,232118,848,279707,933,3973231,933,4252938
12,Race/Ethnicity,Other Race,10/11/21,4536,4349770,3500,2548687,841,1636341,195,164742,1526,328592,1700,2061525,1723,2390117
13,Race/Ethnicity,Unknown,10/11/21,2093,2219545,1465,1217026,403,851741,225,150778,939,230815,848,1052332,1171,1283147
14,Race/Ethnicity,Black or African American,10/11/21,3245,2114019,2671,1213877,472,809416,102,90726,831,123668,1000,1015540,934,1139208
15,Race/Ethnicity,Multiracial,10/11/21,1075,817574,950,512539,110,287888,15,17147,86,21651,169,385688,101,407339
